iter	Passed	Remaining
0	3	670
1	5	583
2	8	556
3	10	534
4	13	524
5	15	516
6	18	506
7	20	498
8	23	499
9	25	492
10	28	487
11	30	482
12	33	478
13	35	474
14	38	472
15	40	470
16	43	467
17	45	462
18	48	458
19	50	455
20	53	452
21	55	451
22	58	450
23	61	447
24	63	444
25	65	441
26	68	437
27	71	436
28	73	435
29	76	434
30	79	431
31	82	430
32	84	427
33	87	426
34	90	425
35	92	423
36	95	420
37	98	418
38	100	415
39	103	415
40	106	414
41	109	412
42	112	409
43	114	406
44	117	403
45	120	402
46	124	403
47	126	400
48	128	397
49	131	395
50	134	393
51	137	392
52	140	390
53	143	387
54	146	385
55	148	382
56	152	381
57	154	378
58	157	375
59	159	372
60	162	369
61	165	367
62	168	365
63	170	362
64	173	361
65	177	359
66	179	356
67	182	354
68	185	351
69	187	348
70	190	345
71	192	342
72	195	339
73	197	336
74	200	334
75	203	331
76	205	328
77	208	325
78	210	322
79	214	321
80	217	318
81	219	316
82	222	313
83	224	310
84	227	307
85	229	304
86	232	302
87	235	299
88	237	296
89	240	293
90	243	291
91	245	288
92	248	286
93	251	283
94	253	280
95	256	278
96	259	275
97	262	272
98	265	270
99	267	267
100	270	265
101	273	262
102	276	260
103	279	257
104	282	255
105	285	252
106	288	250
107	290	247
108	293	244
109	296	242
110	299	239
111	302	237
112	305	234
113	307	232
114	310	229
115	313	227
116	316	224
117	319	221
118	322	219
119	324	216
120	327	213
121	330	211
122	333	208
123	335	205
124	338	203
125	340	200
126	343	197
127	346	194
128	349	192
129	352	189
130	354	186
131	357	184
132	360	181
133	363	178
134	366	176
135	369	173
136	371	171
137	375	168
138	378	166
139	381	163
140	383	160
141	386	158
142	389	155
143	392	152
144	396	150
145	400	148
146	404	145
147	409	143
148	412	141
149	422	140
150	429	139
151	434	137
152	440	135
153	446	133
154	451	131
155	457	129
156	463	127
157	469	124
158	475	122
159	478	119
160	481	116
161	485	113
162	490	111
163	496	108
164	501	106
165	505	103
166	508	100
167	511	97
168	514	94
169	518	91
170	522	88
171	526	85
172	529	82
173	532	79
174	535	76
175	538	73
176	541	70
177	544	67
178	547	64
179	551	61
180	554	58
181	557	55
182	560	52
183	563	48
184	565	45
185	569	42
186	572	39
187	575	36
188	578	33
189	581	30
190	584	27
191	588	24
192	591	21
193	594	18
194	598	15
195	601	12
196	604	9
197	607	6
198	610	3
199	613	0
